"robot_label","n_participants","statistic","df","p_value"
"Assisting with mobility",307,2.96443181699448,4,0.563795187721892
"Delivering supplies",312,3.44169613657389,4,0.486798768935353
"Helping into bed",306,2.93369280465682,4,0.56898237107335
"Monitoring vital signs",315,3.08463839278142,4,0.543762633672219
