"language","robot_label","n_participants","statistic","df","p_value"
"EN","Assisting with mobility",159,3.04280787801795,4,0.55068733886386
"EN","Delivering supplies",162,3.49690806248352,4,0.478348636111329
"EN","Helping into bed",157,2.96192095579051,4,0.564217928976908
"EN","Monitoring vital signs",164,3.16023217713881,4,0.531377974233529
"ES","Assisting with mobility",148,2.92595754156842,4,0.570291713535876
"ES","Delivering supplies",150,3.44691205321979,4,0.485996257946329
"ES","Helping into bed",149,2.94758313767015,4,0.566635212179072
"ES","Monitoring vital signs",151,3.04666470382714,4,0.550046773265712
