"CASE","language","am_ar_1","am_ar_2","am_ar_3","am_ar_4","bed_ar_1","bed_ar_2","bed_ar_3","bed_ar_4","ds_ar_1","ds_ar_2","ds_ar_3","ds_ar_4","mvs_ar_1","mvs_ar_2","mvs_ar_3","mvs_ar_4","am_bi_1","am_bi_2","am_bi_3","bed_bi_1","bed_bi_2","bed_bi_3","ds_bi_1","ds_bi_2","ds_bi_3","mvs_bi_1","mvs_bi_2","mvs_bi_3","am_gr_1","am_gr_2","bed_gr_1","bed_gr_2","ds_gr_1","ds_gr_2","mvs_gr_1","mvs_gr_2","am_me_1","am_me_2","am_me_4","am_me_5","am_me_6","am_me_7","bed_me_1","bed_me_2","bed_me_4","bed_me_5","bed_me_6","bed_me_7","ds_me_1","ds_me_2","ds_me_3","ds_me_4","ds_me_5","ds_me_6","ds_me_7","mvs_me_1","mvs_me_2","mvs_me_4","mvs_me_5","mvs_me_6","mvs_me_7","am_pe_1","am_pe_2","am_pe_3","am_pe_4","bed_pe_1","bed_pe_2","bed_pe_3","bed_pe_4","ds_pe_1","ds_pe_2","ds_pe_3","ds_pe_4","mvs_pe_1","mvs_pe_2","mvs_pe_3","mvs_pe_4","am_se_1","am_se_2","am_se_3","am_se_4","bed_se_1","bed_se_2","bed_se_3","bed_se_4","ds_se_1","ds_se_2","ds_se_3","ds_se_4","mvs_se_1","mvs_se_2","mvs_se_3","mvs_se_4","am_ar_sum","am_bi_sum","am_gr_sum","am_me_sum","am_pe_sum","am_se_sum","bed_ar_sum","bed_bi_sum","bed_gr_sum","bed_me_sum","bed_pe_sum","bed_se_sum","ds_ar_sum","ds_bi_sum","ds_gr_sum","ds_me_sum","ds_pe_sum","ds_se_sum","mvs_ar_sum","mvs_bi_sum","mvs_gr_sum","mvs_me_sum","mvs_pe_sum","mvs_se_sum"
522,"ES",6,5,6,6,5,6,6,6,6,5,5,4,6,7,7,6,4,2,2,4,3,3,4,3,3,4,3,3,7,7,6,6,6,5,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,6,5,6,7,7,7,7,7,7,7,6,6,5,6,4,5,4,5,5,4,3,7,6,6,4,5,6,6,5,5,7,6,5,7,7,6,5,7,7,7,7,23,8,14,42,24,22,23,10,12,40,19,23,20,10,11,45,17,25,26,10,14,42,23,28
523,"ES",7,7,7,7,4,4,4,7,7,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,28,21,14,42,28,28,19,21,14,42,25,25,19,21,14,28,28,28,28,21,14,42,28,28
524,"ES",7,7,7,7,6,5,5,5,6,6,7,7,6,5,6,6,7,7,7,3,3,3,6,6,6,5,5,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,4,6,5,5,4,6,6,7,4,6,5,5,4,6,7,4,5,6,7,7,7,6,7,4,6,6,7,6,6,28,21,14,42,25,22,21,9,14,42,20,27,26,18,14,49,23,23,23,15,13,41,20,25
525,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,6,7,7,7,6,5,6,5,7,6,6,6,7,4,6,4,5,5,5,7,5,7,5,6,6,7,5,7,5,6,6,6,4,5,6,5,4,7,6,6,4,7,6,6,4,2,5,5,5,4,5,5,5,4,5,5,4,4,5,5,5,28,12,14,35,22,17,28,12,14,33,20,19,28,12,13,39,23,18,28,12,14,36,23,19
527,"ES",3,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,2,2,2,2,2,2,3,3,3,5,5,5,7,7,6,6,7,7,5,6,5,3,7,6,7,7,7,5,6,5,6,7,7,7,7,7,7,7,7,7,1,7,7,3,6,5,2,3,3,5,3,3,2,7,7,7,5,5,5,5,3,3,3,3,3,3,5,4,4,3,5,5,5,3,5,5,5,18,6,14,35,13,12,20,6,12,36,13,16,23,9,14,49,26,18,20,15,11,31,18,18
529,"ES",6,5,4,6,2,2,1,2,6,5,5,6,7,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,6,6,2,2,6,6,6,5,6,6,6,6,7,4,4,4,4,4,2,4,6,6,6,6,6,6,4,4,4,4,5,5,5,7,6,6,1,2,2,2,1,6,6,6,1,6,6,6,1,4,5,5,5,1,1,1,1,4,4,5,6,5,5,6,6,21,3,12,35,20,19,7,3,4,22,7,4,22,3,12,40,19,19,19,3,11,27,19,22
530,"ES",5,7,7,6,6,5,5,3,6,7,7,6,6,7,7,6,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,4,7,6,7,7,7,7,7,7,7,7,6,6,5,4,3,6,5,6,6,5,7,6,7,6,7,7,7,7,6,7,5,6,3,5,3,3,3,5,6,6,3,7,7,6,3,5,6,7,7,5,6,6,7,6,6,5,5,5,6,6,5,25,3,14,42,21,25,19,3,9,30,14,24,26,3,13,42,20,22,26,3,14,40,23,22
531,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,13,35,19,16
532,"ES",7,7,7,7,7,7,7,7,7,7,4,4,7,4,7,7,4,4,4,4,7,7,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,4,4,4,7,7,7,4,7,4,7,7,7,7,7,7,7,4,4,4,7,4,4,4,28,12,14,42,28,25,28,18,14,42,25,28,22,12,14,49,19,19,25,18,14,42,25,19
533,"ES",6,7,7,7,6,7,7,7,6,7,7,7,4,7,7,7,7,5,6,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,3,7,7,7,7,7,7,7,7,7,7,7,3,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,27,18,14,42,17,24,27,21,14,42,28,28,27,20,14,49,28,24,25,20,14,42,24,24
534,"ES",6,7,5,6,5,6,5,5,5,5,4,5,6,7,7,7,1,2,3,1,2,3,1,2,3,1,2,3,7,7,7,7,6,6,7,7,7,7,7,7,5,7,7,7,7,7,5,7,7,7,7,7,7,5,7,7,7,7,7,6,7,7,7,7,6,6,5,6,5,6,5,5,4,7,7,7,5,6,6,6,5,5,6,5,5,5,6,6,6,6,6,6,6,24,6,14,40,27,23,21,6,14,40,22,21,19,6,12,47,20,23,27,6,14,41,26,24
535,"ES",5,6,6,7,7,7,6,7,2,1,1,1,6,7,4,6,3,4,5,3,4,5,1,1,1,6,5,5,7,7,7,7,3,3,6,6,7,7,7,7,7,6,7,7,7,6,7,7,7,6,6,4,6,2,6,6,6,5,5,6,5,7,7,7,4,7,6,6,4,3,1,2,2,7,7,7,5,4,5,6,3,7,3,6,4,5,3,6,4,6,3,6,6,24,12,14,41,25,18,27,12,14,41,23,20,5,3,6,37,8,18,23,16,12,33,26,21
536,"ES",NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,6,10,42,22,20,NA,NA,NA,NA,NA,NA
537,"ES",6,7,6,7,7,6,5,7,7,7,7,7,6,7,6,2,1,1,1,6,6,5,5,6,5,1,1,1,7,7,7,7,7,6,5,3,7,6,6,3,7,7,7,6,7,3,7,7,6,7,6,3,6,6,7,5,6,2,5,2,7,3,3,3,3,7,6,6,3,6,7,7,3,2,5,2,3,2,6,6,3,5,4,5,6,6,5,6,5,2,3,5,6,26,3,14,36,12,17,25,17,14,37,22,20,28,16,13,41,23,22,21,3,8,27,12,16
538,"ES",6,6,6,5,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,7,7,6,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,4,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,23,6,NA,42,16,17,23,12,12,41,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,"ES",6,6,5,7,6,3,5,5,6,5,6,5,6,5,5,5,1,2,4,2,1,2,1,2,1,1,3,3,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,6,6,7,7,6,6,7,6,7,5,5,7,7,7,5,5,6,7,7,7,7,5,7,5,5,3,6,5,5,1,6,6,6,2,5,7,7,6,6,6,7,6,3,7,6,5,3,7,6,5,24,7,14,41,26,25,19,5,14,39,20,25,22,4,14,43,17,21,21,7,12,37,20,21
540,"ES",6,6,7,6,6,5,6,7,7,7,7,7,6,5,6,6,5,5,5,6,7,7,7,7,7,6,6,6,7,6,7,7,7,6,6,6,6,6,6,6,6,6,6,7,7,6,2,2,6,6,6,6,6,6,6,6,7,5,6,6,6,5,5,5,5,7,6,6,5,7,7,7,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,25,15,13,36,20,24,24,20,14,30,24,23,28,21,13,42,27,24,23,18,12,36,23,24
541,"ES",6,6,6,6,5,4,4,5,7,4,5,6,4,4,4,2,5,4,4,3,1,1,6,2,3,2,1,1,6,7,5,5,6,6,3,3,6,6,6,6,6,6,4,5,6,4,4,6,7,7,7,7,7,7,7,5,5,5,4,4,5,6,6,6,4,5,4,5,3,6,6,6,4,2,3,4,2,3,4,3,4,4,5,6,3,6,7,5,6,4,5,5,5,24,13,13,36,22,14,18,5,10,29,17,18,22,11,12,49,22,24,14,4,6,28,11,19
542,"ES",4,5,5,5,4,6,7,7,7,7,7,7,6,6,7,7,2,2,2,4,4,5,4,4,5,5,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,4,5,6,6,7,6,7,7,7,6,7,7,7,5,2,5,4,4,5,7,6,5,7,7,7,6,5,7,7,4,19,6,14,41,18,15,24,13,14,42,25,23,28,13,14,49,27,27,26,14,14,42,26,23
543,"ES",7,7,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,5,1,7,6,6,1,1,1,7,7,7,7,5,7,6,7,4,7,7,7,6,7,6,7,7,7,6,7,7,6,7,7,6,7,7,7,6,6,6,7,7,6,7,7,7,6,7,6,7,6,6,6,7,6,6,7,7,7,6,4,6,3,7,7,6,7,6,6,5,1,4,4,7,7,7,7,28,13,12,40,26,23,26,19,13,40,25,25,27,3,11,46,26,14,28,21,14,40,24,28
544,"ES",7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,4,5,1,5,5,5,6,4,4,5,5,5,4,5,2,5,4,28,3,14,42,28,16,28,3,14,42,28,19,28,3,14,49,25,19,27,3,14,42,25,16
545,"ES",6,7,7,4,6,6,6,7,6,6,6,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,6,6,4,1,7,7,7,5,3,6,7,7,5,3,6,6,7,7,7,7,7,2,6,1,7,4,2,1,1,7,7,4,1,6,4,6,2,6,5,6,2,1,1,1,1,2,5,5,2,5,5,4,4,6,3,2,2,1,1,1,1,24,3,14,35,19,14,25,3,14,34,18,18,24,3,12,43,19,13,8,3,5,16,4,4
546,"ES",6,6,6,6,5,6,6,6,3,6,6,5,6,6,6,6,5,6,6,4,5,5,4,4,5,5,5,6,7,7,6,6,5,6,6,6,7,7,7,7,7,7,7,7,6,5,6,7,3,5,3,5,4,6,4,5,6,6,5,6,4,7,7,7,2,5,6,6,2,5,5,5,2,6,6,6,2,5,5,6,6,5,6,5,6,5,4,5,6,3,5,5,5,24,17,14,42,23,22,23,14,12,38,19,22,20,13,11,30,17,20,24,16,12,32,20,18
547,"ES",7,7,7,7,7,7,7,7,5,4,7,4,7,7,7,7,1,1,1,4,4,4,7,7,7,4,4,4,7,4,7,7,7,7,7,7,6,6,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,1,7,4,7,1,7,7,4,1,7,7,7,4,4,7,4,7,4,7,7,7,7,7,7,4,7,7,7,4,28,3,11,37,19,22,28,12,14,42,19,25,20,21,14,49,19,25,28,12,14,42,25,25
548,"ES",6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,4,3,3,4,4,4,4,3,4,7,7,7,7,7,7,7,7,6,1,7,6,6,4,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,4,4,7,7,7,5,6,6,6,7,7,7,7,7,7,7,7,25,18,14,30,28,25,28,10,14,40,27,23,28,12,14,49,28,28,28,11,14,42,25,28
549,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,"ES",5,5,6,6,4,5,5,7,3,5,5,5,6,5,5,7,4,4,4,5,5,5,4,4,4,4,5,4,6,7,7,7,7,7,6,7,5,4,6,7,6,5,5,4,5,6,6,4,6,4,4,6,6,5,5,5,6,6,6,5,4,7,4,7,4,6,4,6,3,7,5,4,4,6,7,5,4,6,5,6,7,7,7,5,5,6,6,5,5,7,6,5,6,22,12,13,33,22,24,21,15,14,30,19,24,18,12,14,36,20,22,23,13,13,32,22,24
551,"ES",3,5,5,7,5,6,6,7,5,6,7,7,6,7,7,7,3,1,1,2,1,1,2,2,2,3,3,3,6,6,5,6,6,6,6,6,6,6,6,6,6,6,4,6,6,4,5,4,5,5,4,5,4,5,4,4,5,6,4,6,4,5,6,5,4,7,6,6,5,7,5,5,4,7,7,7,5,5,4,5,5,5,6,6,5,4,4,5,5,4,6,6,5,20,5,12,36,20,19,24,4,11,29,24,22,25,6,12,32,21,18,27,9,12,29,26,21
552,"ES",7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,5,4,5,7,7,7,7,7,7,7,7,7,7,7,3,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,7,7,4,7,4,7,7,7,4,7,7,7,4,6,7,5,4,7,7,7,4,7,7,4,7,4,7,4,7,7,7,7,7,27,21,14,35,22,25,28,21,14,42,25,25,28,21,14,49,25,22,23,14,14,35,22,28
553,"ES",6,6,5,6,4,4,5,7,6,6,7,7,7,7,7,7,1,1,1,6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,4,7,5,6,4,7,7,7,5,7,7,7,4,7,7,5,6,7,7,7,7,4,7,6,7,4,6,7,7,23,3,14,42,23,25,20,8,14,42,22,28,26,3,14,49,26,24,28,3,14,42,25,24
554,"ES",4,5,5,6,4,6,6,7,5,6,6,6,7,7,7,7,1,1,1,1,1,2,1,2,4,1,1,1,7,7,7,7,6,7,7,7,7,7,6,5,7,7,7,7,3,3,6,6,6,7,7,7,4,6,6,7,7,7,4,7,7,6,4,6,2,7,5,4,2,6,5,5,1,7,7,7,2,2,4,3,4,7,7,5,7,3,3,5,4,5,6,6,6,20,3,14,39,18,13,23,4,14,32,18,26,23,7,13,43,17,15,28,3,14,39,23,23
555,"ES",NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,6,10,48,18,24,NA,NA,NA,NA,NA,NA
556,"ES",3,5,4,1,5,5,3,3,5,7,7,7,7,7,6,7,1,1,1,3,2,2,2,3,2,6,3,2,3,4,3,2,6,7,6,6,3,5,2,3,3,5,5,5,3,3,5,5,7,7,7,7,3,6,6,5,6,6,5,6,7,1,1,1,4,5,5,4,2,6,5,5,4,7,6,6,4,4,6,6,3,3,3,4,2,5,4,5,4,6,7,4,5,13,3,7,21,7,19,16,7,5,26,16,12,26,7,13,43,20,18,27,11,12,35,23,22
557,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,6,4,4,4,7,7,7,7,7,7,4,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,4,7,7,7,5,7,7,7,4,7,6,7,4,7,7,6,6,7,7,7,7,7,7,7,7,6,4,5,6,28,12,14,42,20,26,28,21,14,42,26,28,28,21,14,49,25,28,23,13,14,42,24,21
558,"ES",5,5,6,6,NA,NA,NA,NA,6,7,7,7,6,6,6,6,2,2,2,NA,NA,NA,4,4,4,4,4,4,6,6,NA,NA,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,5,7,7,4,4,4,3,NA,NA,NA,NA,7,7,7,7,6,6,7,6,6,6,6,5,NA,NA,NA,NA,7,5,7,7,6,5,5,6,22,6,12,42,15,23,NA,NA,NA,NA,NA,NA,27,12,14,49,28,26,24,12,14,40,25,22
559,"ES",5,4,6,6,6,6,7,6,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,4,4,4,3,6,6,7,6,7,7,7,7,7,7,7,7,4,5,4,4,6,6,7,6,6,6,7,6,6,6,5,6,21,12,14,42,15,17,25,12,14,42,25,25,28,12,14,49,28,25,28,12,14,40,28,23
