"CASE","language","am_ar_1","am_ar_2","am_ar_3","am_ar_4","bed_ar_1","bed_ar_2","bed_ar_3","bed_ar_4","ds_ar_1","ds_ar_2","ds_ar_3","ds_ar_4","mvs_ar_1","mvs_ar_2","mvs_ar_3","mvs_ar_4","am_bi_1","am_bi_2","am_bi_3","bed_bi_1","bed_bi_2","bed_bi_3","ds_bi_1","ds_bi_2","ds_bi_3","mvs_bi_1","mvs_bi_2","mvs_bi_3","am_gr_1","am_gr_2","bed_gr_1","bed_gr_2","ds_gr_1","ds_gr_2","mvs_gr_1","mvs_gr_2","am_me_1","am_me_2","am_me_4","am_me_5","am_me_6","am_me_7","bed_me_1","bed_me_2","bed_me_4","bed_me_5","bed_me_6","bed_me_7","ds_me_1","ds_me_2","ds_me_3","ds_me_4","ds_me_5","ds_me_6","ds_me_7","mvs_me_1","mvs_me_2","mvs_me_4","mvs_me_5","mvs_me_6","mvs_me_7","am_pe_1","am_pe_2","am_pe_3","am_pe_4","bed_pe_1","bed_pe_2","bed_pe_3","bed_pe_4","ds_pe_1","ds_pe_2","ds_pe_3","ds_pe_4","mvs_pe_1","mvs_pe_2","mvs_pe_3","mvs_pe_4","am_se_1","am_se_2","am_se_3","am_se_4","bed_se_1","bed_se_2","bed_se_3","bed_se_4","ds_se_1","ds_se_2","ds_se_3","ds_se_4","mvs_se_1","mvs_se_2","mvs_se_3","mvs_se_4","am_ar_sum","am_bi_sum","am_gr_sum","am_me_sum","am_pe_sum","am_se_sum","bed_ar_sum","bed_bi_sum","bed_gr_sum","bed_me_sum","bed_pe_sum","bed_se_sum","ds_ar_sum","ds_bi_sum","ds_gr_sum","ds_me_sum","ds_pe_sum","ds_se_sum","mvs_ar_sum","mvs_bi_sum","mvs_gr_sum","mvs_me_sum","mvs_pe_sum","mvs_se_sum"
509,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,"EN",4,5,5,5,4,4,4,4,5,5,5,5,3,1,4,6,4,4,4,3,3,3,4,4,4,4,4,4,5,5,4,4,6,6,5,6,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,1,1,1,1,5,5,5,5,5,6,5,6,5,5,5,5,4,5,4,5,19,12,10,22,14,20,16,9,8,18,12,22,20,12,12,25,13,20,14,12,11,22,4,18
514,"EN",7,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,4,5,5,5,5,5,4,4,4,5,5,5,4,5,4,4,4,4,4,5,4,4,4,4,6,6,6,6,6,6,6,6,6,7,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,25,18,12,29,24,24,25,18,12,27,24,24,24,18,12,30,25,24,24,15,12,25,23,23
515,"ES",6,6,6,6,6,3,4,5,6,4,5,5,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,6,5,5,3,5,6,6,5,6,6,6,6,6,6,5,5,6,6,6,6,5,5,6,5,5,6,4,3,5,6,5,6,4,6,5,5,3,6,6,5,3,5,3,4,2,3,7,6,4,4,5,6,5,4,6,6,5,4,5,6,5,24,3,12,34,21,20,18,3,10,34,19,20,20,3,11,40,20,21,18,3,8,28,14,20
516,"ES",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,5,7,7,7,5,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,21,14,42,26,28,28,21,14,42,26,28,28,21,14,49,26,28,28,21,14,42,26,28
517,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,"EN",7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,28,21,14,30,28,28,28,21,14,30,28,28,28,21,14,35,28,28,24,18,12,30,24,24
521,"ES",7,6,7,7,7,6,6,7,6,5,7,7,6,5,7,6,2,2,2,7,6,6,3,2,2,2,2,2,7,6,7,6,7,6,7,6,7,7,7,7,7,7,7,6,7,6,5,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,6,7,7,7,6,6,7,7,6,7,4,5,6,6,5,7,6,7,7,7,6,6,7,5,7,7,7,5,7,7,7,27,6,13,42,27,27,26,19,13,38,26,26,25,7,13,47,24,26,24,6,13,42,22,26
