"CASE","language","am_use_0","am_use_1","am_use_2","am_use_3","am_use_4","am_use_5","am_use_6","am_use_7","bed_use_0","bed_use_1","bed_use_2","bed_use_3","bed_use_4","bed_use_5","bed_use_6","bed_use_7","ds_use_0","ds_use_1","ds_use_2","ds_use_3","ds_use_4","ds_use_5","ds_use_6","ds_use_7","mvs_use_0","mvs_use_1","mvs_use_2","mvs_use_3","mvs_use_4","mvs_use_5","mvs_use_6","mvs_use_7"
552,"ES",3,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,"En casa con pacientes con dificultad para ser dependientes",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
553,"ES",2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
554,"ES",4,1,1,1,1,1,1,"NEUROLOGÍA",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,"GINECOLOGIA Y ODONTOLOGIA",5,1,1,1,1,1,1,"CARDIOLOGÍA"
555,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA
556,"ES",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
557,"ES",2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
558,"ES",4,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
559,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
560,"ES",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,"Clínicas de medicina familiar y situaciones donde no haya urgencias",3,1,1,1,1,1,1,NA
561,"ES",1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
562,"ES",1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
563,"ES",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
564,"ES",3,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,"Casa",5,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,"Casa"
565,"ES",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
566,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
567,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,3,1,1,1,1,1,1,NA
568,"ES",2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
569,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
570,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
571,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
572,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
573,"ES",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
574,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
575,"ES",3,1,1,1,1,1,1,"Clinicas de rehabilitación",3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,"Clinicas de atención primaria"
576,"ES",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
577,"ES",2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,"Asilos",4,1,1,1,1,1,1,NA
578,"ES",2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
579,"ES",0,0,0,0,0,0,0,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA
580,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
581,"ES",3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,"Todos los campos médicos"
582,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
583,"ES",3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
584,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
585,"ES",3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
586,"ES",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
587,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
588,"ES",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
589,"ES",3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
590,"ES",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
591,"ES",4,1,1,1,1,1,1,"REHABILITACION/FISIOTERAPIA",6,1,1,1,1,1,1,"fisioterapia",5,1,1,1,1,1,1,"Laboratorio",5,1,1,1,1,1,1,NA
592,"ES",3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
593,"ES",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
594,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
595,"ES",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
596,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
597,"ES",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
598,"ES",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
599,"ES",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
600,"ES",3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
601,"ES",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,"area de urgencias o cuidados intensivos"
