"CASE","language","am_use_0","am_use_1","am_use_2","am_use_3","am_use_4","am_use_5","am_use_6","am_use_7","bed_use_0","bed_use_1","bed_use_2","bed_use_3","bed_use_4","bed_use_5","bed_use_6","bed_use_7","ds_use_0","ds_use_1","ds_use_2","ds_use_3","ds_use_4","ds_use_5","ds_use_6","ds_use_7","mvs_use_0","mvs_use_1","mvs_use_2","mvs_use_3","mvs_use_4","mvs_use_5","mvs_use_6","mvs_use_7"
688,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
689,"EN",2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
690,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
691,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
692,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
693,"EN",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
694,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
695,"ES",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
696,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
697,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
698,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
699,"EN",1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
700,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
701,"EN",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
702,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
703,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
704,"EN",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
705,"EN",3,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
706,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
707,"EN",3,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,3,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA
708,"EN",2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
709,"EN",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
710,"EN",2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
711,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
712,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2,1,1,1,1,1,1,NA
713,"ES",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
714,"EN",4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
715,"ES",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
716,"ES",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
717,"EN",4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
718,"EN",4,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
719,"ES",1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
720,"EN",1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
721,"EN",2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
722,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,4,1,1,1,1,1,1,NA
723,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
724,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
725,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
726,"EN",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
727,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
728,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
730,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
731,"ES",4,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,"Asistencia en casas de cuidado a personas mayores",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
732,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2,1,1,1,1,1,1,NA
733,"EN",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
734,"EN",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
735,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,5,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA
736,"EN",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
737,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
739,"EN",1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
740,"EN",0,0,0,0,0,0,0,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
741,"EN",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
742,"ES",3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
743,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
744,"ES",2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
745,"EN",1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
746,"EN",1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
747,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
748,"EN",0,0,0,0,0,0,0,NA,4,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
749,"EN",5,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
750,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
751,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
752,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
753,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
754,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
755,"EN",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
756,"ES",3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
758,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
759,"EN",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
760,"EN",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
761,"EN",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
763,"EN",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
764,"EN",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
765,"EN",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
766,"EN",1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
767,"EN",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
768,"EN",4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
769,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
770,"EN",4,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
771,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
772,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
773,"EN",3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
774,"EN",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
777,"EN",5,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
778,"ES",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
779,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
780,"ES",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
781,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
782,"EN",2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
783,"EN",6,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
784,"EN",1,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
785,"EN",5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
786,"ES",1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
787,"EN",2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
788,"EN",5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
789,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
790,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
791,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,1,1,1,1,1,1,1,NA
792,"EN",2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
793,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
794,"ES",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
795,"EN",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
796,"EN",3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
797,"EN",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
799,"EN",2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
800,"EN",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
801,"EN",3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
802,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
803,"EN",3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
804,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
805,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
806,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
807,"EN",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
809,"EN",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
812,"EN",2,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,2,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA
813,"EN",3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
814,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
815,"EN",4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
816,"EN",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
817,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
818,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
819,"EN",2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
820,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
821,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
822,"EN",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
823,"EN",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
824,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
825,"EN",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
826,"EN",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
827,"EN",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
828,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
829,"EN",4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
830,"EN",4,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
831,"EN",5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
832,"EN",3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
833,"EN",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
834,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
835,"EN",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
836,"ES",5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
837,"EN",2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
838,"EN",0,0,0,0,0,0,0,NA,2,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,2,1,1,1,1,1,1,NA
839,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
840,"EN",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
841,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
842,"EN",3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA
843,"EN",0,0,0,0,0,0,0,NA,5,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
844,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
845,"EN",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
846,"ES",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,"Odontologia",2,1,1,1,1,1,1,NA
847,"EN",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
848,"EN",2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
849,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
850,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
851,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
852,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
853,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
854,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
855,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
856,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
857,"EN",4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
858,"ES",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
859,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
860,"EN",5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
861,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
862,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
863,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
864,"EN",1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,NA
866,"EN",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
867,"EN",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
868,"EN",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
869,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
870,"EN",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
871,"EN",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
872,"EN",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
873,"EN",3,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
874,"EN",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
875,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
876,"ES",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
877,"ES",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
878,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
879,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
880,"ES",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
881,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,1,1,1,1,1,1,1,NA
882,"ES",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
883,"ES",1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
